1384	2	نظریه گروه‌ها و کاربرد آن (115135گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1384	1	جبر 1 (22013گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1384	1	زبان تخصصی ریاضی (22106گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1383	2	جبر خطی 1 (22014گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1383	2	جبر 2 (22020گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1383	2	نظریه ترکیباتی گروه‌ها (115173گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
1382	2	جبر 1 (22013گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1382	2	جبر 3 (22025گروه1 )	4	كارشناسي	دانشکده علوم ریاضی
1382	2	زبان تخصصی ریاضی (22106گروه1 )	2	كارشناسي	دانشکده علوم ریاضی
1382	2	جبر جامع جهانی                          (115134گروه1 )	4	كارشناسي ارشد	دانشکده علوم ریاضی
